Título;Ano;Nota;Sinopse;Diretor;Elenco Principal
Golpe de Mestre;1973;8,2;Dois golpistas se reúnem para obter o melhor golpe.;George Roy Hill;Paul Newman, Robert Redford, Robert Shaw
Indiana Jones e a Última Cruzada;1989;8,2;"Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler.";Steven Spielberg;Harrison Ford, Sean Connery, Alison Doody
Laranja Mecânica;1971;8,2;No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.;Stanley Kubrick;Malcolm McDowell, Patrick Magee, Michael Bates
Metrópolis;1927;8,3;Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.;Fritz Lang;Brigitte Helm, Alfred Abel, Gustav Fröhlich
Snatch - Porcos e Diamantes;2000;8,2;Um ladrão amante dos jogos reúne gângsteres desprezíveis, um grupo de nômades irlandeses e uma fazenda de porcos em meio a chantagens, fraudes, boxeadores, um cão faminto e um grande diamante.;Guy Ritchie;Jason Statham, Brad Pitt, Stephen Graham
1917;2019;8,2;Na Primeira Guerra Mundial, dois soldados britânicos recebem ordens aparentemente impossíveis de cumprir. Em uma corrida contra o tempo, eles precisam atravessar o território inimigo e entregar uma mensagem que pode salvar 1.600 homens.;Sam Mendes;Dean-Charles Chapman, George MacKay, Daniel Mays
Oppenheimer;2023;8,3;A história do cientista americano J. Robert Oppenheimer e seu papel no desenvolvimento da bomba atômica.;Christopher Nolan;Cillian Murphy, Emily Blunt, Matt Damon
Los Angeles: Cidade Proibida;1997;8,2;A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.;Curtis Hanson;Kevin Spacey, Russell Crowe, Guy Pearce
A Queda! As Últimas Horas de Hitler;2004;8,2;O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.;Oliver Hirschbiegel;Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes
Ladrões de Bicicletas;1948;8,2;Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.;Vittorio De Sica;Lamberto Maggiorani, Enzo Staiola, Lianella Carell
Dangal;2016;8,3;O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.;Nitesh Tiwari;Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh
O Lobo de Wall Street;2013;8,2;Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.;Martin Scorsese;Leonardo DiCaprio, Jonah Hill, Margot Robbie
Green Book: O Guia;2018;8,2;Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.;Peter Farrelly;Viggo Mortensen, Mahershala Ali, Linda Cardellini
O Show de Truman: O Show da Vida;1998;8,2;Um vendedor de seguros descobre que sua vida é um programa de televisão.;Peter Weir;Jim Carrey, Ed Harris, Laura Linney
Hamilton;2020;8,3;A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton.;Thomas Kail;Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.
Taxi Driver: Motorista de Táxi;1976;8,2;Um veterano de guerra mentalmente instável trabalha à noite como taxista na cidade de Nova York, onde a decadência e o desprezo alimentam seu desejo de ação violenta.;Martin Scorsese;Robert De Niro, Jodie Foster, Cybill Shepherd
Batman Begins;2005;8,2;Após testemunhar a morte dos pais, o bilionário Bruce Wayne aprende a arte de lutar para confrontar a injustiça. Quando ele retorna a Gotham como Batman, ele deve deter uma sociedade secreta que pretende destruir a cidade.;Christopher Nolan;Christian Bale, Michael Caine, Ken Watanabe
Hababam Sinifi Sinifta Kaldi;1975;8,6;A young and beautiful female teacher starts working in an all boys high school.;Ertem Egilmez;Münir Özkul, Tarik Akan, Kemal Sunal
Por uns Dólares a Mais;1965;8,2;Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.;Sergio Leone;Clint Eastwood, Lee Van Cleef, Gian Maria Volontè
Julgamento em Nuremberg;1961;8,3;Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra.;Stanley Kramer;Spencer Tracy, Burt Lancaster, Richard Widmark
Ilha do Medo;2010;8,2;Em 1954, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.;Martin Scorsese;Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo
Quanto Mais Quente Melhor;1959;8,2;Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.;Billy Wilder;Marilyn Monroe, Tony Curtis, Jack Lemmon
Jurassic Park: O Parque dos Dinossauros;1993;8,2;Um milionário traz à vida dinossauros extintos há milhares de anos, criando um imenso parque. Mas os gigantes pré-históricos começam a ameaçar a vida dos visitantes.;Steven Spielberg;Sam Neill, Laura Dern, Jeff Goldblum
O Garoto;1921;8,2;Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.;Charles Chaplin;Charles Chaplin, Edna Purviance, Jackie Coogan
Meu Pai;2020;8,2;Um homem recusa toda a ajuda de sua filha à medida que envelhece. Enquanto ele tenta entender o que está acontecendo ao seu redor, ele começa a duvidar dos seus entes queridos, da sua mente e até mesmo da estrutura de sua realidade.;Florian Zeller;Anthony Hopkins, Olivia Colman, Mark Gatiss
Sangue Negro;2007;8,2;Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.;Paul Thomas Anderson;Daniel Day-Lewis, Paul Dano, Ciarán Hinds
A Malvada;1950;8,2;Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.;Joseph L. Mankiewicz;Bette Davis, Anne Baxter, George Sanders
O Sexto Sentido;1999;8,2;Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.;M. Night Shyamalan;Bruce Willis, Haley Joel Osment, Toni Collette
Ran;1985;8,2;No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.;Akira Kurosawa;Tatsuya Nakadai, Akira Terao, Jinpachi Nezu
Cassino;1995;8,2;Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.;Martin Scorsese;Robert De Niro, Sharon Stone, Joe Pesci
Top Gun: Maverick;2022;8,2;Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.;Joseph Kosinski;Tom Cruise, Jennifer Connelly, Miles Teller
Onde os Fracos Não Têm Vez;2007;8,2;Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.;Ethan Coen;Tommy Lee Jones, Javier Bardem, Josh Brolin
O Enigma de Outro Mundo;1982;8,2;Uma equipe de pesquisa na Antártica é caçada por um alienígena que muda de forma e assume a aparência de suas vítimas.;John Carpenter;Kurt Russell, Wilford Brimley, Keith David
Os Imperdoáveis;1992;8,2;O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem.;Clint Eastwood;Clint Eastwood, Gene Hackman, Morgan Freeman
O Labirinto do Fauno;2006;8,2;Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.;Guillermo del Toro;Ivana Baquero, Ariadna Gil, Sergi López
Kill Bill: Volume 1;2003;8,2;Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.;Quentin Tarantino;Uma Thurman, David Carradine, Daryl Hannah
Uma Mente Brilhante;2001;8,2;A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.;Ron Howard;Russell Crowe, Ed Harris, Jennifer Connelly
Os Suspeitos;2013;8,2;Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.;Denis Villeneuve;Hugh Jackman, Jake Gyllenhaal, Viola Davis
O Tesouro da Sierra Madre;1948;8,2;Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.;John Huston;Humphrey Bogart, Walter Huston, Tim Holt
Procurando Nemo;2003;8,2;Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.;Andrew Stanton;Albert Brooks, Ellen DeGeneres, Alexander Gould
O Castelo Animado;2004;8,2;Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.;Hayao Miyazaki;Chieko Baishô, Takuya Kimura, Tatsuya Gashûin
Yojimbo, o Guarda-Costas;1961;8,2;Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.;Akira Kurosawa;Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai
O Melhor da Juventude;2003;8,4;Um épico italiano que segue a vida de dois irmãos, das décadas de 1960 a 2000.;Marco Tullio Giordana;Luigi Lo Cascio, Alessio Boni, Jasmine Trinca
Fugindo do Inferno;1963;8,2;Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.;John Sturges;Steve McQueen, James Garner, Richard Attenborough
Monty Python em Busca do Cálice Sagrado;1975;8,2;O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos.;Terry Gilliam;Graham Chapman, John Cleese, Eric Idle
O Homem Elefante;1980;8,2;Um cirurgião vitoriano resgata um homem gravemente desfigurado que é maltratado enquanto tenta sobreviver como uma atração de circo. Por trás de sua aparência monstruosa, revela-se uma pessoa de bondade, inteligência e sofisticação.;David Lynch;Anthony Hopkins, John Hurt, Anne Bancroft
Klaus;2019;8,2;Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.;Sergio Pablos;Jason Schwartzman, J.K. Simmons, Rashida Jones
